throughput,findClus,RawToDigi_kernel,kernelLineFit3,kernelLineFit4,kernel_connect,getHits,kernel_find_ntuplets,fishbone,clusterChargeCut,calibDigis,countModules,kernelFastFit3,kernelFastFit4,kernelFastFit5,kernelLineFit5,kernel_fillHitDetIndices,kernel_mark_used,finalizeBulk,kernel_earlyDuplicateRemover,kernel_countMultiplicity,kernel_fillMultiplicity,kernel_checkOverflows,initDoublets,kernel_classifyTracks,kernel_fishboneCleaner,kernel_fastDuplicateRemover,kernel_countHitInTracks,kernel_fillHitInTracks,kernel_tripletCleaner,kernel_doStatsForHitInTracks,kernel_doStatsForTracks
1179.53,256,256,192,160,128,160,64,192,128,224,224,224,256,256,64,256,32,160,256,160,64,224,192,64,224,64,64,32,64,160,32
1150.06,160,64,192,64,192,256,192,96,192,32,192,128,256,96,128,32,192,192,128,192,224,192,256,128,128,192,224,224,160,192,32
1183.03,96,192,256,64,256,96,192,224,192,256,64,160,256,160,224,256,128,192,256,192,160,128,224,96,32,32,160,192,192,32,96
1155.99,192,192,192,192,192,160,192,192,96,224,32,160,128,96,192,160,96,192,32,32,224,256,128,192,256,32,256,192,128,160,96
1179.47,64,128,64,32,64,256,96,64,64,64,32,128,256,64,256,256,64,192,256,192,32,64,128,160,192,128,256,192,64,256,64
1186.99,192,256,32,96,64,96,96,224,224,224,160,256,32,256,160,32,192,128,96,128,224,96,64,32,96,160,256,64,128,224,160
1202.39,192,160,256,96,256,96,96,256,64,64,128,192,256,224,128,224,32,32,96,224,96,224,96,32,160,96,224,256,96,256,64
1183.48,64,224,192,192,192,160,160,224,64,192,224,32,160,96,128,128,128,64,224,64,96,32,96,96,128,224,96,192,128,128,128
1189.96,64,224,96,256,64,96,224,128,32,96,64,256,192,160,64,192,224,96,256,224,128,128,224,128,160,256,192,32,192,128,96
1154.16,192,128,160,32,256,192,192,256,64,160,224,192,128,224,160,192,128,160,96,96,224,192,96,128,224,256,32,64,64,160,32
1207.02,64,96,128,96,64,64,96,96,160,192,32,256,96,224,256,128,32,96,160,224,128,256,256,64,32,256,64,128,224,64,32
1205.13,160,192,96,64,64,32,160,128,32,160,128,32,64,96,64,224,224,224,192,128,32,128,128,64,160,256,128,256,224,192,64
1157.55,128,128,32,224,256,256,32,32,128,192,64,160,96,128,224,160,224,32,224,192,256,224,256,64,96,96,256,224,96,160,64
1179.52,96,256,128,192,128,256,128,192,32,32,224,160,96,96,256,96,192,32,128,64,256,32,256,96,64,128,192,224,160,128,192
1131.22,192,128,128,64,64,256,192,192,224,96,64,160,32,96,32,32,128,256,256,128,128,128,224,64,256,160,96,64,256,64,160
1129.23,224,224,160,32,128,256,256,96,128,192,160,160,224,128,64,192,256,96,192,128,96,256,96,192,96,224,192,256,32,96,96
1204.7,96,64,256,224,128,128,32,64,192,256,160,64,32,160,32,32,160,256,96,128,64,96,128,256,256,32,160,256,256,64,128
1197.88,64,128,64,256,128,64,192,192,128,64,256,224,64,224,64,32,128,96,32,96,256,96,192,96,64,128,256,192,256,128,64
1160.47,64,96,128,160,256,64,192,32,160,192,256,32,32,160,256,160,64,224,256,192,256,32,192,256,224,160,128,32,256,256,96
1162.96,160,160,256,128,192,224,224,128,128,192,128,64,192,160,128,64,32,96,224,128,32,160,192,256,128,256,96,64,128,128,96
1150.58,192,192,192,32,64,64,160,32,192,96,96,96,192,192,160,32,32,256,256,128,128,160,160,160,224,128,256,256,96,32,160
